gene,sample,expression,time
Mpped1,GSM2545336,378,8
Galnt7,GSM2545336,2240,8
S100a8,GSM2545336,94,8
Mau2,GSM2545336,5602,8
Ptpn23,GSM2545336,2477,8
Sstr1,GSM2545336,229,8
Wdfy4,GSM2545336,61,8
Anxa3,GSM2545336,653,8
C3,GSM2545336,102,8
Tead4,GSM2545336,248,8
Clvs2,GSM2545336,462,8
Gaa,GSM2545336,9304,8
Zfp219,GSM2545336,4969,8
Bves,GSM2545336,15,8
Tmem161a,GSM2545336,1010,8
Unc5d,GSM2545336,1063,8
Cd180,GSM2545336,42,8
Scml4,GSM2545336,56,8
Stk38,GSM2545336,2396,8
Sox17,GSM2545336,251,8
Srsf9,GSM2545336,1414,8
Herpud1,GSM2545336,3678,8
Hmbs,GSM2545336,512,8
Gm2824,GSM2545336,109,8
Mir1901,GSM2545336,24,8
Adamts19,GSM2545336,19,8
Zfp36l1,GSM2545336,1510,8
Impact,GSM2545336,10526,8
Trmt6,GSM2545336,1890,8
Plekhm1,GSM2545336,1621,8
Basp1,GSM2545336,2299,8
Grid1,GSM2545336,1256,8
Zdbf2,GSM2545336,602,8
Tal1,GSM2545336,197,8
Raf1,GSM2545336,4400,8
Pgpep1l,GSM2545336,21,8
Fzd4,GSM2545336,1203,8
Tfdp1,GSM2545336,1925,8
Pdzrn4,GSM2545336,111,8
Ier3,GSM2545336,669,8
Mir378a,GSM2545336,12,8
Magee2,GSM2545336,128,8
Plekhg2,GSM2545336,295,8
Boc,GSM2545336,4017,8
Ddx39b,GSM2545336,6321,8
H2-T24,GSM2545336,93,8
Insm1,GSM2545336,37,8
Vstm5,GSM2545336,147,8
Kctd4,GSM2545336,188,8
Oprm1,GSM2545336,166,8
Zfand6,GSM2545336,2831,8
Cx3cl1,GSM2545336,3197,8
Tacr3,GSM2545336,96,8
Gpr4,GSM2545336,155,8
Ptgis,GSM2545336,129,8
Ccdc28a,GSM2545336,489,8
Ido2,GSM2545336,22,8
Elfn2,GSM2545336,1321,8
Ngp,GSM2545336,68,8
Ptpro,GSM2545336,400,8
Neto1,GSM2545336,344,8
Col6a2,GSM2545336,535,8
Fev,GSM2545336,23,8
Mmab,GSM2545336,839,8
Resp18,GSM2545336,1354,8
Amn,GSM2545336,39,8
Tmem132b,GSM2545336,937,8
St6gal2,GSM2545336,275,8
Tbc1d25,GSM2545336,783,8
Pdcd2l,GSM2545336,743,8
Acot3,GSM2545336,24,8
Gm5468,GSM2545336,18,8
Atg16l1,GSM2545336,2381,8
